id,name,alias,zone,common_standard_tv_time,common_standard_ref_time,interchangeable-bundle,description,status,tags,created_by,created_at,updated_at,deleted_at
1,برش,cut,prepress,2.54,4.01,NULL,,,NULL,,,,
2,غلاف دستگاه,glf,prepress,,,NULL,,,NULL,,,,
3,غلاف دستی,glf!,prepress,,1.89,NULL,,,NULL,,,,
4,بادگیری,w,prepress,1.73,1.73,NULL,,,NULL,,,,
5,غلاف و باد,g-w,prepress,,3.62,NULL,,,NULL,,,,
6,قیچی,y,prepress,,,NULL,,,NULL,,,,
7,روکش ارت,re,prepress,,,NULL,,,NULL,,,,
8,روکش فاز نول,rfn,prepress,3.14,,NULL,,,NULL,,,,
9,روکش سه تایی,rfne,prepress,,6.61,NULL,,,NULL,,,,
10,روکش مغزی,rm,prepress,1.84,2.15,NULL,,,NULL,,,,
11,پرس ارت,pe,press,,,NULL,,,NULL,,,,
12,پرس فار نول,pfn,press,4.68,5.52,NULL,,,NULL,,,,
13,پرس سه گانه,pfne,press,,,NULL,,,NULL,,,,
14,پرس دوبل,pd,press,,7.23,NULL,,,NULL,,,,
15,پرس اسپیلایس,ps,press,,,NULL,,,NULL,,,,
16,پرس مغزی اتومات,pm,press,6.14,8.19,NULL,,,NULL,,,,
17,پرس مغزی دستی,pm!,press,,10.08,NULL,,,NULL,,,,
18,تزریق کلگی,Column1,injection,10.42,12.87,NULL,,,NULL,,,,
19,تزریق مهاربند,Column2,injection,10.72,9.87,NULL,,,NULL,,,,
20,سوکت ارت,se,montage,,,NULL,,,NULL,,,,
21,سوکت فاز نول,sfn,montage,6.98,,NULL,,,NULL,,,,
22,سوکت سه تایی,sfne,montage,,8.26,NULL,,,NULL,,,,
23,چسب,ch,montage,,,NULL,,,NULL,,,,
24,اسفنج,j,montage,,,NULL,,,NULL,,,,
25,فریت,f,montage,,,NULL,,,NULL,,,,
26,فریت و سوکت,f-s,montage,,,NULL,,,NULL,,,,
27,مونتاژ وارنیش,v-m,montage,,,NULL,,,NULL,,,,
28,سشوار وارنیش,v-s,montage,,,NULL,,,NULL,,,,
29,بست کمربندی,bst,montage,,,NULL,,,NULL,,,,
30,تست تک نفره,t1,QC,,14.2125,NULL,,,NULL,,,,
31,تست دو نفره,t2,QC,,15.65,NULL,,,NULL,,,,
32,تست چهار نفره,t3,QC,,19.9,NULL,,,NULL,,,,
33,H.V. تک نفره,hv1,QC,,7.79,NULL,,,NULL,,,,
34,H.V. دو نفره,hv2,QC,7.96,3.72,NULL,,,NULL,,,,
35,لیبل,lbl,packing,9.22,,NULL,,,NULL,,,,
36,تاباندن,tbn,packing,7.06,,NULL,,,NULL,,,,
37,کش انداختن,ksh,packing,,10.76,NULL,,,NULL,,,,
38,دسته کردن,dst,packing,2.9,,NULL,,,NULL,,,,
39,بسته بندی,pck,packing,2.96,2.61,NULL,,,NULL,,,,
