id,idd,order_id,quantity,maximum_batch_size,printing_date,cutting_date,status,tags,description,created_by,created_at,updated_at,deleted_at
1,,6,2000,300,3/6/2025,,,NULL,,,3/6/2025 0:00,,
2,,5,3405,300,2/3/2025,,,NULL,,,2/3/2025 1:02,,
3,,5,-3405,300,2/3/2025,,,NULL,canceled,,2/3/2025 1:02,,
4,,5,3000,300,2/2/2025,,,NULL,,,2/2/2025 0:00,,
5,,9,100,300,4/5/2025,,,NULL,,,4/5/2025 0:00,,
6,,7,600,300,4/7/2025,,,NULL,,,4/7/2025 0:00,,
7,,21,3000,300,4/8/2025,,,NULL,,,4/8/2025 0:00,,
8,,20,3000,300,4/8/2025,,,NULL,,,4/8/2025 0:00,,
9,,19,3000,300,4/8/2025,,,NULL,,,4/8/2025 0:00,,
10,,12,3000,300,4/13/2025,,,NULL,برای مرکز 3,,4/13/2025 0:00,,
11,,11,3000,300,4/13/2025,,,NULL,,,4/13/2025 0:00,,
12,,13,2100,300,4/13/2025,,,NULL,,,4/13/2025 0:00,,
13,,11,2100,300,4/13/2025,,,NULL,,,4/13/2025 0:00,,
14,,11,3000,300,4/14/2025,,,NULL,,,4/14/2025 0:00,,
15,,12,3000,300,4/14/2025,,,NULL,,,4/14/2025 0:00,,
16,,13,3000,300,4/15/2025,,,NULL,,,4/15/2025 0:00,,
17,,12,2000,300,4/16/2025,,,NULL,,,4/16/2025 0:00,,
18,,13,2900,300,4/16/2025,,,NULL,,,4/16/2025 0:00,,
19,,8,3000,300,4/20/2025,,,NULL,,,4/20/2025 0:00,,
20,,9,3000,300,4/20/2025,,,NULL,,,4/20/2025 0:00,,
21,,8,4000,300,4/20/2025,,,NULL,,,4/20/2025 0:00,,
22,,9,3000,300,4/20/2025,,,NULL,,,4/20/2025 0:00,,
23,33,16,3000,300,4/21/2025,,,NULL,,,4/21/2025 0:00,,
24,34,10,1000,300,4/22/2025,,,NULL,,,4/22/2025 0:00,,
25,35,9,3000,300,4/22/2025,,,NULL,,,4/22/2025 0:00,,
26,36,9,3000,300,4/22/2025,,,NULL,,,4/22/2025 0:00,,
27,37,9,3000,300,4/22/2025,,,NULL,,,4/22/2025 0:00,,
28,38,9,3000,300,4/22/2025,,,NULL,,,4/22/2025 0:00,,
29,40,14,513,250,4/23/2025,,,NULL,,,4/23/2025 0:00,,
30,41,9,3900,300,4/23/2025,,,NULL,,,4/23/2025 0:00,,
31,42,15,3000,300,4/23/2025,,,NULL,,,4/23/2025 0:00,,
