"id","order_id","promised_date","promised_quantity","status","tags","description","created_by","created_at","updated_at","deleted_at"
"1","1","","8200","",NULL,"","","2025-10-18 14:39:55","",""
"2","2","","6240","",NULL,"","","2025-10-18 14:39:55","",""
"3","3","","10800","",NULL,"","","2025-10-18 14:39:55","",""
"4","4","","8864","",NULL,"","","2025-10-18 14:39:55","",""
"5","5","2025/02/11","6400","",NULL,"","","2025-10-18 14:39:55","",""
"6","6","","2800","",NULL,"","","2025-10-18 14:39:55","",""
"7","7","","600","",NULL,"","","2025-10-18 14:39:55","",""
"8","8","2025/04/26","2500","",NULL,"","","2025-10-18 14:39:55","",""
"9","8","2025/05/01","2500","",NULL,"","","2025-10-18 14:39:55","",""
"10","8","2025/05/07","2000","",NULL,"","","2025-10-18 14:39:55","",""
"11","9","2025/04/26","6000","",NULL,"","","2025-10-18 14:39:55","",""
"12","9","2025/05/01","5000","",NULL,"","","2025-10-18 14:39:55","",""
"13","9","2025/05/07","6000","",NULL,"","","2025-10-18 14:39:55","",""
"14","9","2025/05/11","5000","",NULL,"","","2025-10-18 14:39:55","",""
"15","10","2025/04/26","500","",NULL,"","","2025-10-18 14:39:55","",""
"16","10","2025/05/07","500","",NULL,"","","2025-10-18 14:39:55","",""
"17","11","2025/04/22","8000","",NULL,"","","2025-10-18 14:39:55","",""
"18","11","2025/04/29","3000","",NULL,"","","2025-10-18 14:39:55","",""
"19","11","2025/05/06","3000","",NULL,"","","2025-10-18 14:39:55","",""
"20","11","2025/05/12","2000","",NULL,"","","2025-10-18 14:39:55","",""
"21","11","","-7900","",NULL,"","","2025-10-18 14:39:55","",""
"22","12","2025/04/20","2000","",NULL,"","","2025-10-18 14:39:55","",""
"23","12","2025/04/25","3000","",NULL,"","","2025-10-18 14:39:55","",""
"24","12","2025/05/02","3000","",NULL,"","","2025-10-18 14:39:55","",""
"25","13","2025/04/20","2000","",NULL,"","","2025-10-18 14:39:55","",""
"26","13","2025/04/25","3000","",NULL,"","","2025-10-18 14:39:55","",""
"27","13","2025/05/02","3000","",NULL,"","","2025-10-18 14:39:55","",""
"28","14","2025/05/05","500","",NULL,"","","2025-10-18 14:39:55","",""
"29","15","2025/04/26","2000","",NULL,"","","2025-10-18 14:39:55","",""
"30","15","2025/04/30","2000","",NULL,"","","2025-10-18 14:39:55","",""
"31","15","2025/05/02","2000","",NULL,"","","2025-10-18 14:39:55","",""
"32","16","2025/04/25","3000","",NULL,"","","2025-10-18 14:39:55","",""
"33","17","","15000","",NULL,"","","2025-10-18 14:39:55","",""
"34","18","2025/05/04","5000","",NULL,"","","2025-10-18 14:39:55","",""
"35","18","2025/05/10","10000","",NULL,"","","2025-10-18 14:39:55","",""
"36","18","2025/05/15","10000","",NULL,"","","2025-10-18 14:39:55","",""
"37","18","2025/05/21","10000","",NULL,"","","2025-10-18 14:39:55","",""
"38","18","2025/05/26","10000","",NULL,"","","2025-10-18 14:39:55","",""
"39","19","2025/04/25","3000","",NULL,"","","2025-10-18 14:39:55","",""
"40","20","2025/04/25","3000","",NULL,"","","2025-10-18 14:39:55","",""
"41","21","2025/04/25","3000","",NULL,"","","2025-10-18 14:39:55","",""
"42","22","2025/05/22","3000","",NULL,"","","2025-10-18 14:39:55","",""
"43","22","2025/05/26","3000","",NULL,"","","2025-10-18 14:39:55","",""
"44","22","2025/05/31","3000","",NULL,"","","2025-10-18 14:39:55","",""
"45","22","2025/06/07","3000","",NULL,"","","2025-10-18 14:39:55","",""
"46","23","2025/06/07","3000","",NULL,"","","2025-10-18 14:39:55","",""
"47","24","2025/06/07","500","",NULL,"","","2025-10-18 14:39:55","",""
"48","25","2025/05/16","2500","",NULL,"","","2025-10-18 14:39:55","",""
"49","25","2025/05/22","2500","",NULL,"","","2025-10-18 14:39:55","",""
"50","25","2025/05/29","2500","",NULL,"","","2025-10-18 14:39:55","",""
"51","25","2025/06/03","2500","",NULL,"","","2025-10-18 14:39:55","",""
"52","26","2025/05/22","900","",NULL,"","","2025-10-18 14:39:55","",""
"53","26","2025/05/30","2800","",NULL,"","","2025-10-18 14:39:55","",""
"54","26","2025/06/05","2200","",NULL,"","","2025-10-18 14:39:55","",""
"55","26","2025/06/12","2400","",NULL,"","","2025-10-18 14:39:55","",""
"56","27","2025/05/22","1200","",NULL,"","","2025-10-18 14:39:55","",""
"57","27","2025/05/30","1900","",NULL,"","","2025-10-18 14:39:55","",""
"58","27","2025/06/05","1300","",NULL,"","","2025-10-18 14:39:55","",""
"59","28","2025/05/17","2000","",NULL,"","","2025-10-18 14:39:55","",""
"60","28","2025/05/22","2000","",NULL,"","","2025-10-18 14:39:55","",""
"61","28","2025/05/27","2000","",NULL,"","","2025-10-18 14:39:55","",""
"62","28","2025/06/02","3000","",NULL,"","","2025-10-18 14:39:55","",""
"63","28","2025/06/08","1000","",NULL,"","","2025-10-18 14:39:55","",""
"64","29","2025/05/17","2000","",NULL,"","","2025-10-18 14:39:55","",""
"65","29","2025/05/26","2000","",NULL,"","","2025-10-18 14:39:55","",""
"66","30","2025/05/17","5000","",NULL,"","","2025-10-18 14:39:55","",""
"67","30","2025/05/22","5000","",NULL,"","","2025-10-18 14:39:55","",""
"68","30","2025/05/27","12000","",NULL,"","","2025-10-18 14:39:55","",""
"69","30","2025/06/02","12000","",NULL,"","","2025-10-18 14:39:55","",""
"70","30","2025/06/08","12000","",NULL,"","","2025-10-18 14:39:55","",""
"71","30","2025/06/15","12000","",NULL,"","","2025-10-18 14:39:55","",""
"72","30","2025/06/21","12000","",NULL,"","","2025-10-18 14:39:55","",""
"73","31","2025/05/17","3000","",NULL,"","","2025-10-18 14:39:55","",""
"74","31","2025/05/22","3000","",NULL,"","","2025-10-18 14:39:55","",""
