"id","moldable_type","moldable_id","name","cavities","image_path","cycle_time","description","status","tags","created_by","created_at","updated_at","deleted_at"
"MI001","cord","","قالب مهاربند LG(گلدیران)","","","12.96","","",NULL,"","2025-10-18 11:48:32","",""
"MI002","cord","","قالب مهاربند  TV(8کویته)","","","6.9","","",NULL,"","2025-10-18 11:48:32","",""
"MI003","cord","","قالب مهاربند یخچالی طرح هیمالیا(4کویته)","","","","","",NULL,"","2025-10-18 11:48:32","",""
"MI003","cover","","پاکت کاور سوکت ایمر گاز","","","6.9","","",NULL,"","2025-10-18 11:48:32","",""
"MI004","cord","","مهاربند امرسان (اینسرت)(هاردستون)","","","","","",NULL,"","2025-10-18 11:48:32","",""
"MI004","cord","","قالب مهاربند هاردستون  (اینسرت)","","","","","",NULL,"","2025-10-18 11:48:32","",""
"MI005","plug","","قالب کلگی دوشاخه  TV China(8کویته)","","","7.29","","",NULL,"","2025-10-18 11:48:32","",""
"MI006","cord","","قالب اسنوا مهاربند کرد بزرگ","","","6.89","","",NULL,"","2025-10-18 11:48:32","",""
"MI007","cord","","قالب مهاربند ( تمام دایره )بزرگ","","","12.78","","",NULL,"","2025-10-18 11:48:32","",""
"MI007","cord","","قالب مهاربند ( تمام دایره )بزرگ","","","12.78","","",NULL,"","2025-10-18 11:48:32","",""
"MI008","plug","","قالب کلگی دوشاخه بدون ارت مستقیم","","","14","","",NULL,"","2025-10-18 11:48:32","",""
"MI009","plug","","قالب  کلگی دوشاخه یخچالی  ارت دار مستقیم","","","","","",NULL,"","2025-10-18 11:48:32","",""
"MI010","cord","","قالب مهاربند یخچالی(تغییر یافته سام)(قالب مهاربند اسنوا کرد بزرگ)","","","","","",NULL,"","2025-10-18 11:48:32","",""
"MI011","cord","","قالب مهاربند (تمام دایره) دو قلو 6.9","","","","","",NULL,"","2025-10-18 11:48:32","",""
"MI011","cord","","قالب تمام دایره پاکشوما","","","","","",NULL,"","2025-10-18 11:48:32","",""
"MI012","cord","","قالب مهاربند (تمام دایره) دو قلو مشترک","","","14.45","","",NULL,"","2025-10-18 11:48:32","",""
"MI013","misc","","قالب نمونه (فقط پاکت )","","","12.96","","",NULL,"","2025-10-18 11:48:32","",""
"MI013","cord","","مهاربند گلدیران/ پاکشوما","","","12.96","","",NULL,"","2025-10-18 11:48:32","",""
"MI014","cord","","قالب مهاربند اسنوا(گرد بزرگ)","","","","","",NULL,"","2025-10-18 11:48:32","",""
"MI015","cord","","قالب رادیویی","","","","","",NULL,"","2025-10-18 11:48:32","",""
"MI016","plug","","قالب کلگی دوشاخه یخچالی","","","","","",NULL,"","2025-10-18 11:48:32","",""
"MI017","plug","","قالب کلگی دوشاخه TV","","","6.93","","",NULL,"","2025-10-18 11:48:32","",""
"MI018","plug","","قالب کلگی دوشاخه بدون ارت مستقیم","","","","","",NULL,"","2025-10-18 11:48:32","",""
"MI019","cord","","قالب مهاربند مایکروفر گلدیران (اینسرت)","","","6.9","","",NULL,"","2025-10-18 11:48:32","",""
