"id","idd","product_id","quantity","maximum_batch_size","cutting_date","status","tags","description","created_by","created_at","updated_at","deleted_at"
"1","","140010230","2000","300","","",NULL,"","","2025/04/05","",""
"2","2","140010255","500","300","","",NULL,"","","2025/04/05","",""
"3","","140010117","2100","300","","",NULL,"","","2025/04/05","",""
"4","","140010117","3000","300","","",NULL,"","","2025/04/06","",""
"5","","140010230","3000","300","","",NULL,"","","2025/04/06","",""
"6","","140010117","4900","300","","",NULL,"","","2025/04/07","",""
"7","","140010298","630","500","","",NULL,"","","2025/04/08","",""
"8","","140010279","3000","500","","",NULL,"","","2025/04/08","",""
"9","","140010295","4300","500","","",NULL,"","","2025/04/08","",""
"10","","140010280","3000","500","","",NULL,"","","2025/04/13","",""
"11","","140010280","1495","500","","",NULL,"","","2025/04/13","",""
"12","","140010280","3610","500","","",NULL,"","","2025/04/15","",""
"13","","140010279","3000","500","","",NULL,"","","2025/04/15","",""
"14","","140010279","4300","500","","",NULL,"","","2025/04/16","",""
"15","","140010295","10","500","","",NULL,"کم آمده بود و برش داده شد توسط احمد سالمی","","2025/04/19","",""
"16","","140010279","-2","500","","",NULL,"تبدیل دو عدد 10279 به 10298","","2025/04/19","",""
"17","","140010298","2","500","","",NULL,"تبدیل دو عدد 10279 به 10298","","2025/04/19","",""
"18","138","140550019","","300","","",NULL,"مفقود شدن برگ بچ","","2025/07/01","",""
"19","140","140310071","300","300","","",NULL,"مفقود شدن برگ بچ","","2025/07/07","",""
"20","146","140310071","1200","300","","",NULL,"مفقود شدن برگ بچ","","2025/07/13","",""
"21","150","140310071","1200","300","","",NULL,"مفقود شدن برگ بچ","","2025/07/16","",""
"22","190","140310071","275","275","","",NULL,"بازکاری(فقط بچ A4 پرینت گرفته شد)","","2025/08/10","",""
"23","205","140310031","11","300","","",NULL,"کسری مانده از پلن","","2025/08/19","",""
"24","206","140310071","174","174","","",NULL,"کسری مانده از پلن","","2025/08/19","",""
"25","207","140310083","26","26","","",NULL,"کسری مانده از پلن","","2025/08/19","",""
