"id","order_idd","order_id","date","product_id","quantity","plan","qnt","plan2","qnt2","description","status","tags","created_by","created_at","updated_at","deleted_at"
"1","1403/-140550019","#N/A","2024/12/21","140550019","1400","1000","1400","","","","",NULL,"","2025-10-19 11:22:16","",""
"2","1403/-140550019","#N/A","2024/12/22","140550019","200","1000","200","","","","",NULL,"","2025-10-19 11:22:16","",""
"3","1403/-140550019","#N/A","2024/12/23","140550019","400","1000","400","","","","",NULL,"","2025-10-19 11:22:16","",""
"10","1403/12-140010117","#N/A","2025/04/06","140010117","75","12","75","","","","",NULL,"","2025-10-19 11:22:16","",""
"11","1403/12-140010230","#N/A","2025/04/06","140010230","50","12","50","","","","",NULL,"","2025-10-19 11:22:16","",""
"12","1403/12-140020181","#N/A","2025/04/06","140020181","50","12","50","","","","",NULL,"","2025-10-19 11:22:16","",""
"13","1403/12-140090143","#N/A","2025/04/06","140090143","1350","12","1350","","","","",NULL,"","2025-10-19 11:22:16","",""
"14","1403/12-140310017","#N/A","2025/04/06","140310017","1850","12","1850","","","","",NULL,"","2025-10-19 11:22:16","",""
"15","1403/12-140220012","#N/A","2025/04/06","140220012","3900","12","3900","","","","",NULL,"","2025-10-19 11:22:16","",""
"16","1404/01-140030039","#N/A","2025/04/07","140030039","200","1","200","","","","",NULL,"","2025-10-19 11:22:16","",""
"17","1403/12-140090143","#N/A","2025/04/07","140090143","3000","12","3000","","","","",NULL,"","2025-10-19 11:22:16","",""
"18","1403/12-140310007","#N/A","2025/04/07","140310007","92","12","92","","","","",NULL,"","2025-10-19 11:22:16","",""
"19","1403/12-140310017","#N/A","2025/04/07","140310017","50","12","50","","","","",NULL,"","2025-10-19 11:22:16","",""
"20","1403/12-140310031","#N/A","2025/04/07","140310031","36","12","36","","","","",NULL,"","2025-10-19 11:22:16","",""
"21","1403/12-140220012","#N/A","2025/04/07","140220012","2100","12","2100","","","","",NULL,"","2025-10-19 11:22:16","",""
"23","1403/-140550019","#N/A","2025/04/07","140550019","34","1000","34","","","","",NULL,"","2025-10-19 11:22:16","",""
"24","1404/01-140010117","#N/A","2025/04/08","140010117","1275","1","1275","","","","",NULL,"","2025-10-19 11:22:16","",""
"25","1404/01-140010230","#N/A","2025/04/08","140010230","300","1","300","","","","",NULL,"","2025-10-19 11:22:16","",""
"26","1404/01-140010255","#N/A","2025/04/08","140010255","500","1","500","","","","",NULL,"","2025-10-19 11:22:16","",""
"27","1403/12-140090143","#N/A","2025/04/08","140090143","1050","12","1050","","","","",NULL,"","2025-10-19 11:22:16","",""
"28","1403/12-140220012","#N/A","2025/04/08","140220012","1650","12","1650","","","","",NULL,"","2025-10-19 11:22:16","",""
"29","1404/01-140010117","#N/A","2025/04/09","140010117","2550","1","2550","","","","",NULL,"","2025-10-19 11:22:16","",""
"30","1404/01-140010230","#N/A","2025/04/09","140010230","1150","1","1150","","","","",NULL,"","2025-10-19 11:22:16","",""
"31","1404/01-140030039","#N/A","2025/04/09","140030039","200","1","200","","","","",NULL,"","2025-10-19 11:22:16","",""
"33","1403/12-140310016","#N/A","2025/04/09","140310016","250","12","250","","","","",NULL,"","2025-10-19 11:22:16","",""
"34","1403/12-140220012","#N/A","2025/04/09","140220012","400","12","400","","","","",NULL,"","2025-10-19 11:22:16","",""
"35","1404/01-140010117","#N/A","2025/04/12","140010117","2325","1","2325","","","","",NULL,"","2025-10-19 11:22:16","",""
"36","1404/01-140010230","#N/A","2025/04/12","140010230","1500","1","1500","","","","",NULL,"","2025-10-19 11:22:16","",""
"37","1403/12-140090143","#N/A","2025/04/12","140090143","300","12","300","","","","",NULL,"","2025-10-19 11:22:16","",""
"38","1403/12-140220012","#N/A","2025/04/12","140220012","700","12","700","","","","",NULL,"","2025-10-19 11:22:16","",""
"39","1404/01-140010117","#N/A","2025/04/13","140010117","1350","1","1350","","","","",NULL,"","2025-10-19 11:22:16","",""
"40","1404/01-140010230","#N/A","2025/04/13","140010230","1600","1","1600","","","","",NULL,"","2025-10-19 11:22:16","",""
"41","1404/01-140030039","#N/A","2025/04/13","140030039","3000","1","3000","","","","",NULL,"","2025-10-19 11:22:16","",""
"42","1403/12-140310017","#N/A","2025/04/13","140310017","18","12","18","","","","",NULL,"","2025-10-19 11:22:16","",""
"43","1404/01-140010295","#N/A","2025/04/13","140010295","800","1","800","","","","",NULL,"","2025-10-19 11:22:16","",""
"44","1404/01-140010117","#N/A","2025/04/14","140010117","2100","1","2100","","","","",NULL,"","2025-10-19 11:22:16","",""
"45","1404/01-140010230","#N/A","2025/04/14","140010230","200","1","200","","","","",NULL,"","2025-10-19 11:22:16","",""
"47","1404/01-140010295","#N/A","2025/04/14","140010295","2200","1","2200","","","","",NULL,"","2025-10-19 11:22:16","",""
"48","1404/01-140010117","#N/A","2025/04/15","140010117","1800","1","400","2f","1400","","",NULL,"","2025-10-19 11:22:16","",""
"50","1404/01-140010279","#N/A","2025/04/15","140010279","1000","1","1000","","","","",NULL,"","2025-10-19 11:22:16","",""
"51","1404/01-140010295","#N/A","2025/04/15","140010295","1200","1","1200","","","","",NULL,"","2025-10-19 11:22:16","",""
"55","1404/01-140010279","#N/A","2025/04/16","140010279","1800","1","1800","","","","",NULL,"","2025-10-19 11:22:16","",""
"57","1404/01-140010230","#N/A","2025/04/19","140010230","350","1","250","2","100","","",NULL,"","2025-10-19 11:22:16","",""
"61","1404/01-140010279","#N/A","2025/04/19","140010279","100","1","100","","","","",NULL,"","2025-10-19 11:22:16","",""
"62","1404/01-140010280","#N/A","2025/04/19","140010280","800","1","800","","","","",NULL,"","2025-10-19 11:22:16","",""
"63","1404/01-140010298","#N/A","2025/04/19","140010298","630","1","630","","","","",NULL,"","2025-10-19 11:22:16","",""
"66","1404/01-140010280","#N/A","2025/04/20","140010280","2200","1","2200","","","","",NULL,"","2025-10-19 11:22:16","",""
