"id","customer_id","name","cable_id","cutting_length","tall_jacket_length","short_jacket_length","remaining_blue","remaining_brown","remaining_yellow","blue_insulation_length","brown_insulation_length","yellow_insulation_length","blue_terminal_id","brown_terminal_id","yellow_terminal_id","double_terminal_id","plug_id","cord_id","extra_earth_length","cord_length","ferrit_id","description","status","tags","created_by","created_at","updated_at","deleted_at"
"140000006","30","کابل دوشاخه 3.75","120030006","200","10","2.5","3.2","3.2","6","10","10","10","120110001","120110001","120100023","","4","","","2","","","",NULL,"","","",""
"140010092","39","کابل دوشاخه  220  سانتی طوسی","120030009","220","10","2.5","6","6","6","","","","120100018","120100018","120100018","","4","","","12","","","",NULL,"","","",""
"140010117","39","کابل دوشاخه  220  سانتی طوسی","120030094","220","10","2.5","6","6","6","","","","120100018","120100018","","120100018","4","","20","12","","","",NULL,"","","",""
"140010230","39","کابل دو شاخه مخصوص کمپرسور اینورتر","120030094","215","16","2.5","6","6","6","16","16","5.5","120100018","120100018","","120100018","4","","18","1","","","",NULL,"","","",""
"140010235","39","کابل دو شاخه تی وی 1.60 سانتیمتری","120030039","160","2","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","7.5","","","",NULL,"","","",""
"140010236","39","کابل دو شاخه تی وی 1.92 سانتیمتری","120030039","192","2","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","40","","","",NULL,"","","",""
"140010237","39","کابل دو شاخه تی وی 1.63 سانتیمتری","120030039","163","2","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","11","","","",NULL,"","","",""
"140010255","39","کابل دوشاخه فریزر صندوقی","120030094","220","10","2.5","10","10","6","","","","","","","120100015","4","","20","12","","","",NULL,"","","",""
"140010260","39","کابل TV50FCU","120030039","212","20","20","3.2","3.2","0","","","","120110001","120110001","","","3","","","60","","","",NULL,"","","",""
"140010279","39","43gfslu3jfs","120030039","177","2.5","2","3","3","0","","","","120110001","120110001","","","3","","","25","","","",NULL,"","","",""
"140010280","39","58GfuDuB Hm58fs کدمقصد : 700060009","120030039","192","2","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","40","","","",NULL,"","","",""
"140010281","39","کابل TV50FCU","120030039","212","20","20","3.2","3.2","0","","","","120110001","120110001","","","3","","","60","","","",NULL,"","","",""
"140010282","39","کابل دو شاخه تی وی 1.63 سانتیمتری","120030039","163","2.5","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","11","","","",NULL,"","","",""
"140010295","39","55GFU 9632","120030039","150","2.5","1.4","4","4","0","","","","120100223","120100223","","","3","","","0","","","",NULL,"","","",""
"140020007","37","کابل دو شاخه 220 سانتی طوسی","120030094","220","15","2.5","3","3","6","","","","120110001","120110001","120100023","","4","","","8","","","",NULL,"","","",""
"140020091","37","کابل دو شاخه 220 سانتی طوسی","120030009","220","10","2.5","4.5","4.5","6","","","","120100002","120100008","120100023","","4","","","12","","","",NULL,"","","",""
"140020181","37","سیم دوشاخه برق کلیه محصولات  N-DW-  987 -01","120030094","223","17","2.5","3.2","3.2","6","14.5","14.5","17","120110001","120110001","120100023","","4","","","8","","","",NULL,"","","",""
"140020196","37","سیم دوشاخه برق  NT595MD   N-DW-912-02","120030094","223","15","2.5","4.5","4.5","6","13","13","15","120100008","120100002","120100023","","4","","","10","","","",NULL,"","","",""
"140030039","32","کابل دو شاخه 224 سانتی","120030094","224","12","2.5","3","3","6","8","8","12","120110015","120110015","120110052","","4","","","12","","","",NULL,"","","",""
"140030040","32","کابل دوشاخه  224  سانتی طوسی","120030094","224","12","2.5","3","3","6","8","8","12","120110015","120110015","120110052","","4","","","12","","","",NULL,"","","",""
"140090014","22","کابل دو شاخه سفید 257  سانتی","120030006","257","50","2.5","4.5","4.5","6","15","15","50","120100002","120100002","120110052","","5","","","10","","","",NULL,"","","",""
"140090037","22","كابل دوشاخه دار( power cord) طوسي كد مقصد: 20012187","120030042","227","23","2.5","4.5","4.5","6","23","23","23","120100002","120100002","120100029","","5","","","2","","","",NULL,"","","",""
"140090075","22","کابل دو شاخه سفید 257  سانتی","120030006","257","50","2.5","4.5","4.5","6","9.5","9.5","50","120100002","120100002","120110052","","5","","","5","","","",NULL,"","","",""
"140090098","22","كابل تغذيه 393-BRT130-10092","120030006","187","20","2.5","4.5","4.5","6","","","","120100002","120100002","120110052","","4","","","10","","","",NULL,"","","",""
"140090143","22","کابل دوشاخه دار (combi ref power cord)","120030094","227","23","2.5","4.5","4.5","6","","","","120100002","120100002","","120100029","5","","61","2","","","",NULL,"","","",""
"140120021","13","کابل دوشاخه ارت دار یخچال فریزر","120030009","223","15","2.5","10","10","6","15","15","15","","","120100024","","5","","","0","","","",NULL,"","","",""
"140120058","13","کابل دوشاخه ارت دار یخچال فریزر صندوقی","120030009","223","15","2.5","10","10","10","15","15","15","","","","","5","","","0","","","",NULL,"","","",""
"140160010","8","کابل دوشاخه","120030010","167","13.5","2.5","6","6","6","12.5","12.5","13.5","120100014","120100014","120100014","","5","","","2.5","","","",NULL,"","","",""
"140220011","25","کابل دوشاخه ظرفشویی 1/8 ارت دار 1*3 طوسی 30032050","120030107","183","12","2.5","5","5","5","9","9","12","120100047","120100047","120100083","","5","","","0","","","",NULL,"","","",""
"140220012","25","کابل دوشاخه لباسشویی ارت دار 1*3 طوسی 30014542","120030107","192","36","2.5","5","5","6","15","15","36","120100083","120100083","120110052","","5","","","1.5","","","",NULL,"","","",""
"140220018","25","کابل برق ظرفشویی کدمقصد 30026387","120030107","170","14.5","2.5","6","6","6","9","9","14.5","120100016","120100016","120100016","","5","","","1.5","","","",NULL,"","","",""
