"id","product_id","activity_id","stanndard_time","description","status","tags","created_by","created_at","updated_at","deleted_at"
"1","140530004","1","2.54","","",NULL,"","2025-10-20 14:44:44","",""
"2","140530004","4","1.73","","",NULL,"","2025-10-20 14:44:44","",""
"3","140530004","8","3.14","","",NULL,"","2025-10-20 14:44:44","",""
"4","140530004","10","1.84","","",NULL,"","2025-10-20 14:44:44","",""
"5","140530004","12","4.68","","",NULL,"","2025-10-20 14:44:44","",""
"6","140530004","16","6.14","","",NULL,"","2025-10-20 14:44:44","",""
"7","140530004","18","10.42","","",NULL,"","2025-10-20 14:44:44","",""
"8","140530004","19","10.72","","",NULL,"","2025-10-20 14:44:44","",""
"9","140530004","21","6.98","","",NULL,"","2025-10-20 14:44:44","",""
"10","140530004","34","7.96","","",NULL,"","2025-10-20 14:44:44","",""
"11","140530004","35","9.22","","",NULL,"","2025-10-20 14:44:44","",""
"12","140530004","36","7.06","","",NULL,"","2025-10-20 14:44:44","",""
"13","141320031","1","2.54","","",NULL,"","2025-10-20 14:44:44","",""
"14","141320031","4","1.73","","",NULL,"","2025-10-20 14:44:44","",""
"15","141320031","8","3.14","","",NULL,"","2025-10-20 14:44:44","",""
"16","141320031","10","1.84","","",NULL,"","2025-10-20 14:44:44","",""
"17","141320031","12","4.68","","",NULL,"","2025-10-20 14:44:44","",""
"18","141320031","16","6.14","","",NULL,"","2025-10-20 14:44:44","",""
"19","141320031","18","10.42","","",NULL,"","2025-10-20 14:44:44","",""
"20","141320031","19","10.72","","",NULL,"","2025-10-20 14:44:44","",""
"21","141320031","21","6.98","","",NULL,"","2025-10-20 14:44:44","",""
"22","141320031","34","7.96","","",NULL,"","2025-10-20 14:44:44","",""
"23","141320031","35","9.22","","",NULL,"","2025-10-20 14:44:44","",""
"24","141320031","36","7.06","","",NULL,"","2025-10-20 14:44:44","",""
"25","141320032","1","2.54","","",NULL,"","2025-10-20 14:44:44","",""
"26","141320032","4","1.73","","",NULL,"","2025-10-20 14:44:44","",""
"27","141320032","8","3.14","","",NULL,"","2025-10-20 14:44:44","",""
"28","141320032","10","1.84","","",NULL,"","2025-10-20 14:44:44","",""
"29","141320032","12","4.68","","",NULL,"","2025-10-20 14:44:44","",""
"30","141320032","16","6.14","","",NULL,"","2025-10-20 14:44:44","",""
"31","141320032","18","10.42","","",NULL,"","2025-10-20 14:44:44","",""
"32","141320032","19","10.72","","",NULL,"","2025-10-20 14:44:44","",""
"33","141320032","21","6.98","","",NULL,"","2025-10-20 14:44:44","",""
"34","141320032","34","7.96","","",NULL,"","2025-10-20 14:44:44","",""
"35","141320032","35","9.22","","",NULL,"","2025-10-20 14:44:44","",""
"36","141320032","36","7.06","","",NULL,"","2025-10-20 14:44:44","",""
"37","140550060","1","2.54","","",NULL,"","2025-10-20 14:44:44","",""
"38","140550060","4","1.73","","",NULL,"","2025-10-20 14:44:44","",""
"39","140550060","8","3.14","","",NULL,"","2025-10-20 14:44:44","",""
"40","140550060","10","1.84","","",NULL,"","2025-10-20 14:44:44","",""
"41","140550060","12","5.52","","",NULL,"","2025-10-20 14:44:44","",""
"42","140550060","17","8.23","","",NULL,"","2025-10-20 14:44:44","",""
"43","140550060","18","10.42","","",NULL,"","2025-10-20 14:44:44","",""
"44","140550060","19","10.72","","",NULL,"","2025-10-20 14:44:44","",""
"45","140550060","21","6.98","","",NULL,"","2025-10-20 14:44:44","",""
"46","140550060","34","7.96","","",NULL,"","2025-10-20 14:44:44","",""
"47","140550060","35","9.22","","",NULL,"","2025-10-20 14:44:44","",""
"48","140550060","36","7.06","","",NULL,"","2025-10-20 14:44:44","",""
"49","141320055","1","2.69","","",NULL,"","2025-10-20 14:44:44","",""
"50","141320055","36","6.36","","",NULL,"","2025-10-20 14:44:44","",""
"51","140530039","1","2.69","","",NULL,"","2025-10-20 14:44:44","",""
"52","140530039","36","6.36","","",NULL,"","2025-10-20 14:44:44","",""
"53","140010279","1","2.69","","",NULL,"","2025-10-20 14:44:44","",""
"54","140010279","35","8.31","","",NULL,"","2025-10-20 14:44:44","",""
"55","140010279","36","6.36","","",NULL,"","2025-10-20 14:44:44","",""
"56","140010280","1","2.69","","",NULL,"","2025-10-20 14:44:44","",""
"57","140010280","35","8.31","","",NULL,"","2025-10-20 14:44:44","",""
"58","140010280","36","6.36","","",NULL,"","2025-10-20 14:44:44","",""
"59","140010295","1","2.69","","",NULL,"","2025-10-20 14:44:44","",""
"60","140010295","36","6.36","","",NULL,"","2025-10-20 14:44:44","",""
"61","140010298","1","2.69","","",NULL,"","2025-10-20 14:44:44","",""
"62","140010298","35","8.31","","",NULL,"","2025-10-20 14:44:44","",""
"63","140010298","36","6.36","","",NULL,"","2025-10-20 14:44:44","",""
