"id","alias","name","technical_id","description","status","tags","created_by","created_at","updated_at","deleted_at"
"000000000","nothing","nothing","","","1",NULL,"","2025-10-18 11:39:18","",""
"Sn","Sn","قلع کاری سرسیم","","","1",NULL,"","2025-10-18 11:39:18","",""
"120100014","6.3ch","ترمینال مادگی 6/3 پشت چاكدار","MESA:MT2111.80 RP    MT:MT 530057-1  HATKO: 0100104434     KET:ST730057-1","","1",NULL,"","2025-10-18 11:39:18","",""
"120100015","6.3flat","ترمینال مادگی 6/3 پشت صاف","MET:MT530268-1         KET:ST730268-1","","1",NULL,"","2025-10-18 11:39:18","",""
"120100016","6.3ch@","ترمینال مادگی 6/3 آبكاری شده","KET:730057-3 & SF1D(6.3)     TKS: TK1201.1","","1",NULL,"","2025-10-18 11:39:18","",""
"120100018","nar.p","#N/A","","","1",NULL,"","2025-10-18 11:39:18","",""
"120100021","4.8ch@","ترمینال مادگی 4/8 آبكاری شده","HCB:TP1871-0135   KET: ST730245-2","","1",NULL,"","2025-10-18 11:39:18","",""
"120100023","nut4","ترمینال مهره خور 4","KET :ST710127_1    HATKO: 0100107108","","1",NULL,"","2025-10-18 11:39:18","",""
"120100024","nut5","ترمینال مهره خور 5","","","1",NULL,"","2025-10-18 11:39:18","",""
"120100029","splice","ترمینال كلمپ متوسط (اسپیلایس) MT560320","ST760320-1","","1",NULL,"","2025-10-18 11:39:18","",""
"120100045","nut4@","ترمینال مهره خور 4 آبكاری شده","KET:ST710095-3","","1",NULL,"","2025-10-18 11:39:18","",""
"120100047","6.3k@","ترمینال مادگی 6/3 آبكاری شده كلید دار","","","1",NULL,"","2025-10-18 11:39:18","",""
"120100080","4.8k","ترمینال مادگی 4/8 کلید دار","MESA: TD2135.50 RP","","1",NULL,"","2025-10-18 11:39:18","",""
"120100083","flag","ترمینال مادگی KET  ST730649-3","HCB : TP2503-6038(ST730649-3)   KET : ST730649-3","","1",NULL,"","2025-10-18 11:39:18","",""
"120100132","6.3k","ترمینال مادگی 6/3 کلید دار","0100104035(SF23DK (6.3) RP)","","1",NULL,"","2025-10-18 11:39:18","",""
"120100223","radio","ترمینال 98715ps-0","","","1",NULL,"","2025-10-18 11:39:18","",""
"120110001","VH","ترمینال VHT كد A3963","","","1",NULL,"","2025-10-18 11:39:18","",""
"120110015","YH","ترمینال مكعبی بدون خار كد YT396B-RT","","","1",NULL,"","2025-10-18 11:39:18","",""
"120110051","ket.st730460","ترمینال KET  ST740465-3","HCB: C60001-03RT","","1",NULL,"","2025-10-18 11:39:18","",""
"120110052","sun","ترمینال KET  ST710489-3","","","1",NULL,"","2025-10-18 11:39:18","",""
